ward_name,area_code,2010_incidence_rate,2019_incidence_rate
Hangzhou - Shangcheng,330102,7.8824,4.0570
Hangzhou - Xiacheng,330103,8.9918,3.6196
Hangzhou - Jianggan,330104,12.9719,4.9505
Hangzhou - Gongshu,330105,10.9718,4.9487
Hangzhou - Xihu,330106,6.9755,3.2856
Hangzhou - Binjiang,330108,6.6519,1.7561
Hangzhou - Xiaoshan,330109,4.4124,3.3081
Hangzhou - Yuhang,330110,6.3120,3.2493
Hangzhou - Fuyang,330111,5.4726,3.4734
Hangzhou - Linan,330112,6.2916,3.6071
Hangzhou - Tongxiang,330122,8.4152,4.0826
Hangzhou - Chunan,330127,9.5427,4.5865
Hangzhou - Jiande,330182,7.4750,3.9235
Ningbo - Haishu,330203,3.0193,1.5917
Ningbo - Jiangbei,330205,2.8132,3.5392
Ningbo - Beilun,330206,8.8933,6.1298
Ningbo - Zhenhai,330211,8.5639,4.2150
Ningbo - Yinzhou,330212,6.4310,4.3655
Ningbo - Fenghua,330213,6.1131,3.1624
Ningbo - Xiangshan,330225,4.2690,3.3140
Ningbo - Ninghai,330226,6.6156,5.1502
Ningbo - Yuyao,330281,5.4064,5.8573
Ningbo - Cixi,330282,5.1647,1.9224
Whenzhou - Lucheng,330302,18.7086,15.0728
Whenzhou - Longwan,330303,29.4547,19.2507
Whenzhou - Ouhai,330304,27.5966,17.0696
Whenzhou - Dongtou,330305,9.0090,3.4358
Whenzhou - Yongjia,330324,13.1086,7.3504
Whenzhou - Pingyang,330326,10.7181,5.0926
Whenzhou - Cangnan,330327,11.3994,6.4968
Whenzhou - Wencheng,330328,9.9746,4.8350
Whenzhou - Taishun,330329,9.3627,5.5483
Whenzhou - Ruian,330381,12.0042,5.0651
Whenzhou - Yueqing,330382,11.3358,5.5928
Whenzhou - Longgang,330383,14.7146,7.8001
Jiaxing - Xiucheng(Nanhu),330402,7.4598,2.4774
Jiaxing - Xiuzhou,330411,5.8566,5.0893
Jiaxing - Jiashan,330421,10.5521,3.0563
Jiaxing - Haiyan,330424,5.1185,7.1449
Jiaxing - Haining,330481,7.7099,2.8135
Jiaxing - Pinghu,330482,8.8597,4.9296
Jiaxing - Tongxiang,330483,6.5125,3.7895
Huzhou - Wuxing,330502,11.1092,2.7716
Huzhou - Nanxun,330503,9.3820,3.3446
Huzhou - Deqing,330521,7.6287,7.3042
Huzhou - Changxing,330522,11.4642,3.0660
Huzhou - Anji,330523,7.9921,13.4507
Shaoxing - Yuecheng,330602,9.7400,6.2701
Shaoxing - Shaoxing(Keqiao),330603,6.5847,3.3600
Shaoxing - Shangyu,330604,6.5389,4.5902
Shaoxing - Xinchang,330624,7.2981,5.2649
Shaoxing - Zhuji,330681,7.2144,5.1145
Shaoxing - Shengzhou,330683,8.8079,3.6674
Jinhua - Wucheng,330702,9.0151,6.1792
Jinhua - Jindong,330703,10.7413,3.5266
Jinhua - Wuyi,330723,8.2511,5.9525
Jinhua - Pujiang,330726,15.9492,9.5448
Jinhua - Panan,330727,6.1175,3.1880
Jinhua - Lanxi,330781,11.4299,3.9602
Jinhua - Yiwu,330782,9.6222,12.6661
Jinhua - Dongyang,330783,7.5123,4.4313
Jinhua - Yongkang,330784,14.6312,5.9889
Quzhou - Kecheng,330802,10.3048,6.1184
Quzhou - Qujiang,330803,10.8923,6.8364
Quzhou - Changshan,330822,12.7652,5.2644
Quzhou - Kaihua,330824,5.7937,4.5538
Quzhou - Longyou,330825,16.6667,5.9685
Quzhou - Jiangshan,330881,11.4425,6.0567
Zhoushan - Dinghai,330902,4.8598,2.9174
Zhoushan - Putuo,330903,7.6899,5.1587
Zhoushan - daishan,330921,5.1163,2.6011
Zhoushan - Shengsi,330922,4.9751,2.2489
Taizhou - Jiaojiang,331002,9.0234,5.4839
Taizhou - Huangyan,331003,5.7826,5.7435
Taizhou - Luqiao,331004,10.0527,6.0400
Taizhou - Sanmen,331022,6.8729,9.4615
Taizhou - Tiantai,331023,9.7051,2.5964
Taizhou - Xianju,331024,4.9273,3.1058
Taizhou - Wenling,331081,12.8692,1.2215
Taizhou - Linhai,331082,5.5113,7.0684
Taizhou - Yuhuan,331083,14.1756,12.2327
Lishui - Liandu,331102,11.8138,4.7000
Lishui - Qingtian,331121,9.7045,5.1964
Lishui - Jinyun,331122,6.5305,2.9050
Lishui - Suichang,331123,9.1312,2.7728
Lishui - Songyang,331124,8.9979,5.6367
Lishui - Yunhe,331125,8.4685,5.3465
Lishui - Qingyuan,331126,7.4130,2.6517
Jingning,331127,6.7320,6.0450
Lishui - Longquan,331181,6.3313,2.3263
,,,
,,,
,,,
